Title,Author,Link,IMG,Timestamp
Зазидани - предстоящо ,Петър Маринков,https://www.ciela.com/zazidani-petur-marinkov.html,https://www.ciela.com/media/catalog/product/cache/10482adb38c42509ff68c714d15693d8/z/a/zazidani-ciela-front.jpg,24/07/2023 11:18:30
Всички страхове - предстоящо ,Алекс Финли,https://www.ciela.com/vsichki-strahove-aleks-finli.html,https://www.ciela.com/media/catalog/product/cache/10482adb38c42509ff68c714d15693d8/v/s/vsichki-strahove-ciela.jpg,24/07/2023 11:18:30
Новата къща - предстоящо ,Тес Стимсън,https://www.ciela.com/novata-k-scha-tes-stims-n.html,https://www.ciela.com/media/catalog/product/cache/10482adb38c42509ff68c714d15693d8/n/o/novata-kushta-ciela-front.jpg,24/07/2023 11:18:30
Хотел „Нантъкет“ - предстоящо ,Елин Хилдебранд,https://www.ciela.com/hotel-nant-ket.html,https://www.ciela.com/media/catalog/product/cache/10482adb38c42509ff68c714d15693d8/h/o/hotel-nantucket-elin-hilderbrand-front.jpg,24/07/2023 11:18:30
Дейзи Даркър - предстоящо ,Алис Фини,https://www.ciela.com/deizi-darkyr.html,https://www.ciela.com/media/catalog/product/cache/10482adb38c42509ff68c714d15693d8/d/e/deizi-darkyr-ciela.jpg,24/07/2023 11:18:30
Без извинения! - Силата на самодисциплината - предстоящо ,Брайън Трейси,https://www.ciela.com/bez-izvinenija-silata-na-samodisciplinata.html,https://www.ciela.com/media/catalog/product/cache/10482adb38c42509ff68c714d15693d8/b/e/bez-izvinenia-ciela.jpg,24/07/2023 11:18:30
Войната за вдигнатия капак на тоалетната чиния - предстоящо ,Алън и Барбара Пийз,https://www.ciela.com/vojnata-za-vdignatija-kapak-na-toaletnata-chinija-allan-barbara-pease.html,https://www.ciela.com/media/catalog/product/cache/10482adb38c42509ff68c714d15693d8/_/-/_-_-_9789542844006_-_.jpg,24/07/2023 11:18:30
Списание Медицинско право и здравеопазване бр. 1/2023 - предстоящо ,Мария Димитрова,https://www.ciela.com/spisanie-medicinsko-pravo-i-zdraveopazvane-br-1-2023.html,https://www.ciela.com/media/catalog/product/cache/10482adb38c42509ff68c714d15693d8/_/_/_._12023_-_-_2748-7070-1-2023_-_.jpg,24/07/2023 11:18:30
Правен режим на надзора върху банковата дейност - предстоящо ,Сюлейман Башов,https://www.ciela.com/praven-rezhim-na-nadzora-v-rhu-bankovata-dejnost.html,https://www.ciela.com/media/catalog/product/cache/10482adb38c42509ff68c714d15693d8/_/-/_-_-_9789542843757_-_.jpg,24/07/2023 11:18:30
Когато се борим със себе си ,Рюдигер Далке,https://www.ciela.com/kogato-se-borim-sas-sebe-si.html,https://www.ciela.com/media/catalog/product/cache/10482adb38c42509ff68c714d15693d8/k/o/kogato-se-borim-sas-sebe-si-hermes-9789542619437.jpg,24/07/2023 11:18:30
Трудните деца ,Андрю Фулър,https://www.ciela.com/trudnite-detsa.html,https://www.ciela.com/media/catalog/product/cache/10482adb38c42509ff68c714d15693d8/f/i/file_244_46.jpg,24/07/2023 11:18:30
Детски атлас на България с исторически и природни забележителности ,Костадин Костадинов,https://www.ciela.com/detski-atlas-na-balgariya-s-istoricheski-i-prirodni-zabelezhitelnosti.html,https://www.ciela.com/media/catalog/product/cache/10482adb38c42509ff68c714d15693d8/d/e/detski-atlas-na-bulgaria-pan-9786192401276.jpg,24/07/2023 11:18:30
Пурпур ,Шърли Конран,https://www.ciela.com/purpur-sharli-konran.html,https://www.ciela.com/media/catalog/product/cache/10482adb38c42509ff68c714d15693d8/p/u/purpur-shyrli-konran-pleiada-9789544094041.jpg,24/07/2023 11:18:30
Художничката ,Мери Бесон,https://www.ciela.com/hudozhnichkata-meri-beson.html,https://www.ciela.com/media/catalog/product/cache/10482adb38c42509ff68c714d15693d8/h/u/hudozhnichkata-mari-beson-emas-9789543574179.jpg,24/07/2023 11:18:30
Татяна Лолова - Дневници и делници ,Татяна Лолова,https://www.ciela.com/tatyana-lolova-dnevnitsi-i-delnitsi.html,https://www.ciela.com/media/catalog/product/cache/10482adb38c42509ff68c714d15693d8/d/n/dnevnici-i-delnici-tatyana-lolova-knigomaniya-2021-9786191952335.jpg,24/07/2023 11:18:30
